Neighborhood,Category,Restaurant Name,Score,Award Level,Justification,Description EN,Description KO,Kakao URL,Latitude,Longitude,Auditor Comments,Rating Justified,Auditor Reason,Needs Manual Review,Upgrade Recommended,Reclassify Eligible,AI Justification,Sponsored Ratio
문래동,수제맥주,2도비어 문래점,24,None,"The score of 13 reflects significant deficiencies in flavor mastery, culinary uniqueness, and value for money, compounded by a complete lack of information regarding consistency over time.","2도비어 문래점 offers a seafood tteokbokki that is bland upon serving, requiring customer intervention to achieve palatability, complemented by uninspired basic appetizers. Despite its cozy neighborhood pub ambiance, the lack of culinary distinctiveness and high prices for mediocre food result in a poor overall value.","2도비어 문래점의 해물떡볶이는 처음에는 밍밍하여 고객이 직접 오래 끓여야 맛이 살아나며, 기본 안주 또한 평범합니다. 아늑한 동네 펍 분위기에도 불구하고, 요리의 개성이 부족하고 가격 대비 만족도가 낮아 아쉬움을 남깁니다.",http://place.map.kakao.com/1819340653,37.52058055,126.8898691,,,,,,False,"The single relevant review highlights poor value with '안주는 푸근한 가격이 아니군요' and a significant flaw in technique, as the tteokbokki was '밍밍해서 약간 어색했지만 오래 끓이니 옴모나 맛있어졌어요' only after customer intervention. Furthermore, the establishment is new, offering no basis for consistency.",0/1 sponsored
성수동,해산물,성수포차,50,None,"The score reflects strong points in unique personality and decent value, but significant deductions were made due to the lack of specific seafood information, questionable ingredient quality, unrefined cooking techniques, and insufficient evidence of long-term consistency.","성수포차 offers a vibrant, retro atmosphere driven by its DJ-like owner and budget-friendly anju, but it falls short on culinary execution and ingredient quality, particularly for a seafood critic. While the prices are appealing, the food itself, with its 'tough' textures and strong seasoning, leaves much to be desired.","성수포차는 DJ 같은 사장님의 개성과 저렴한 안주로 활기찬 복고 분위기를 선사하지만, 해산물 전문점으로서의 식재료 품질과 조리 기술은 아쉽습니다. 매력적인 가격에도 불구하고, 퍽퍽한 식감과 강한 후추 맛 등 음식 자체의 완성도는 개선이 필요해 보입니다.",http://place.map.kakao.com/1604091626,37.53755775,127.0553602,,,,,,False,"The evaluation is based on a single customer review explicitly identifying '성수 포차'. While the establishment offers a unique atmosphere with a DJ-like owner and 90s music, the food quality and preparation, such as poorly cut pork cartilage and unbalanced seasoning, were noted as average or below. Insufficient data prevents a comprehensive assessment of ingredients, technique, and consistency.",0/1 sponsored
역삼동,치킨,도담치킨 선릉역점,73,,"Ingredients (17/20) and flavor mastery (18/20) are strong, but uniqueness (12/20) is limited, value for money (16/20) is fair, and past inconsistency (10/20) weighs down the overall score, despite recent improvements.","While 도담치킨 선릉역점 delivers a textbook crispy chicken with good flavor, its past inconsistency and lack of a distinct culinary identity prevent it from earning a Neon Heart. It's a decent local option for a casual bite, but not a destination.","도담치킨 선릉역점은 바삭하고 맛있는 치킨을 선보이지만, 과거의 일관성 부족과 뚜렷한 개성 부재로 네온 하트를 받기에는 역부족입니다. 가벼운 식사를 위한 괜찮은 동네 옵션이지만, 특별히 찾아갈 만한 곳은 아닙니다.",http://place.map.kakao.com/1118311250,37.50241639,127.0458627,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
마장동,수제맥주,아쿠아덕 피자 펍,77,,"The score of 77 is a result of strong uniqueness and decent technique, offset by a lack of explicit ingredient quality, inconsistent wing execution, and moderate value for money.","Aqua Duck Pizza Pub delivers a distinctive American vibe with its engaging owner and novel bottom-pour beer system, yet its culinary execution, particularly with the wings, and its overall value proposition fall short of exceptional. Despite promising handmade pizza dough, minor inconsistencies in flavor and relatively high prices prevent it from earning a coveted Neon Heart.","아쿠아덕 피자 펍은 미국인 사장의 개성과 독특한 바텀업 맥주 시스템으로 이국적인 분위기를 선사합니다. 하지만 피자의 미묘한 맛의 불균형과 윙의 일관성 부족, 그리고 다소 높은 가격이 아쉬워 '네온 하트'를 받기에는 역부족입니다.",http://place.map.kakao.com/407523411,37.56638224,127.0429329,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
서초동,분식,태리로제떡볶이 서울교대점,68,None,Supreme Court Overruled: Authentic customer receipts revealed major flaws (service/taste/hygiene). Revoked.,"While a reliable franchise for its popular rose tteokbokki, Tae-ri Rose Tteokbokki at Seoul National University of Education branch offers good quality ingredients and satisfying flavors. However, its nature as a widespread chain limits its uniqueness and individual culinary personality.",태리로제떡볶이 서울교대점은 좋은 재료와 만족스러운 로제 떡볶이 맛으로 꾸준히 사랑받는 프랜차이즈입니다. 하지만 체인점 특성상 독창적인 개성이나 특별한 가치를 기대하기는 어렵습니다.,http://place.map.kakao.com/1476895207,37.4929937,127.0134519,"The reviews contain mixed opinions, including a strong recommendation for the meal and a complaint about the doughnut not pairing well with rice cake. However, the majority of the comments are positive and recommend the restaurant again. The AI score of 77 is close to the average of the reviews.",No,"The reviews contain both positive and negative comments, with some contradictions. The AI score is close to the average score of the reviews, indicating a close fit between the AI score and the overall sentiment of the reviews.",false,False,False,"While some reviews praise the quality of ingredients like sausage and the rich texture of the sauce, one review explicitly described the tteokbokki as '쏘쏘~', indicating a lack of consistent excellence in the core dish. The generous service items enhance value, but the overall experience does not warrant a higher score.",0/4 sponsored
대현동,분식,오아시스,78,,"The score of 78 reflects strong points in unique menu development, flavor mastery, and value, but is significantly impacted by the complete lack of information regarding consistency over time.","Sak offers a creative take on tteokbokki and twigim, with unique fried items showcasing a distinct culinary personality. However, without evidence of consistent quality over time, it remains an intriguing spot rather than a reliable destination.","삭은 독특한 튀김 메뉴로 떡볶이에 대한 창의적인 접근과 뚜렷한 개성을 보여줍니다. 하지만 시간이 지남에 따른 일관된 품질에 대한 정보가 부족하여, 흥미로운 곳이지만 신뢰할 만한 목적지라고 단정하기는 어렵습니다.",http://place.map.kakao.com/414936960,37.55828803,126.9448746,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
역삼동,치킨,BBQ 강남점,80,1 Neon Heart,"The score of 80 reflects strong ingredient quality and cooking technique, an exceptional venue personality for group dining, but is tempered by premium pricing and the inherent lack of long-term consistency data for a newly opened establishment.","BBQ Gangnam offers a crisp, juicy fried chicken experience within a spacious, modern venue perfect for group gatherings and sports viewing. While the premium pricing for certain items like tteokbokki might give pause, the overall quality and vibrant atmosphere make it a reliable choice for a satisfying chimaek outing.","BBQ 강남점은 바삭하고 육즙 가득한 치킨과 넓고 현대적인 공간으로 단체 모임 및 스포츠 관람에 최적화된 경험을 제공합니다. 떡볶이 등 일부 메뉴의 높은 가격은 아쉽지만, 전반적인 품질과 활기찬 분위기는 만족스러운 치맥을 위한 믿음직한 선택입니다.",http://place.map.kakao.com/1453563050,37.49481854,127.0310048,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
역삼동,수제맥주,밀회관 역삼점,81,1 Neon Heart,"The score of 81 reflects strong points in ingredient quality, stable technique, value, and consistency, slightly tempered by a lack of unique culinary personality.","Milhoegwan Yeoksam offers a stable culinary experience with fresh ingredients and well-executed dishes, making it a reliable choice for gatherings. However, its broad appeal comes at the cost of a unique culinary identity, preventing it from truly standing out.","밀회관 역삼점은 신선한 재료와 안정적인 조리 기술로 훌륭한 식사 경험을 제공하며, 모임 장소로 손색이 없습니다. 다만, 폭넓은 메뉴 구성은 독창적인 요리 개성을 희석시켜 특별한 인상을 남기기에는 아쉽습니다.",http://place.map.kakao.com/1894780716,37.50301071,127.039324,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
신사동,수제맥주,크래프트컨설팅,81,1 Neon Heart,"The score of 81 reflects strong ingredient quality and masterful technique, though value for money and long-term consistency could be further solidified.","The Taco Booth delivers a vibrant American-Mexican street food experience with expertly crafted birria tacos and ramen. While the price point is on the higher side, the meticulous preparation justifies the cost.","더타코부스는 정교하게 조리된 비리아 타코와 라멘으로 생동감 넘치는 미국식 멕시칸 스트리트 푸드 경험을 선사합니다. 가격은 다소 높지만, 재료와 조리 과정의 섬세함을 고려하면 납득할 만합니다.",http://place.map.kakao.com/1447088991,37.52797461,127.0372023,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
서초동,분식,이가네김밥,83,1 Neon Heart,"The score of 83 reflects strong points in value for money, the chef's unique personality and experience, and consistent operation, with solid marks for technique and ingredient quality.","Igane Kimbap offers a reliable and hearty bunsik experience, with an owner's touch evident in their unique omurice sauce and generously filled kimbap. It's a bustling local favorite, consistently delivering good value and a clean environment.",이가네김밥은 15년 경력 사장님의 손맛이 담긴 오므라이스 소스와 튼실한 김밥으로 든든한 분식 경험을 선사합니다. 깔끔한 환경에서 꾸준히 좋은 가치를 제공하며 직장인들의 사랑을 받는 동네 맛집입니다.,http://place.map.kakao.com/993485457,37.48570351,127.0146027,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
신사동,수제맥주,루가크래프트,84,1 Neon Heart,"The score of 84 reflects strong points in flavor mastery, uniqueness, value for money, and consistency, with a slight deduction for the lack of explicit detail on ingredient quality and some beer descriptions being merely 'decent'.","루가크래프트 shines with its unexpectedly delicious, restaurant-quality food and a diverse selection of house-brewed and guest craft beers. While the beer is consistently good, it's the culinary offerings and the establishment's unique charm that truly make it a worthwhile visit.","루가크래프트는 예상외로 훌륭한 레스토랑급 요리와 다양한 하우스 및 게스트 수제 맥주로 빛을 발합니다. 맥주 맛은 꾸준히 좋지만, 이곳을 진정으로 방문할 가치가 있게 만드는 것은 독특한 매력과 뛰어난 음식입니다.",http://place.map.kakao.com/27520743,37.52191528,127.0276789,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
성수동,수제맥주,플래티넘맥주 서울사무소,84,1 Neon Heart,"The restaurant scored well across all categories, particularly for its consistent quality, value, and flavorful craft beers, earning it a solid 84 points.","A reliable spot where fresh ingredients meet well-executed flavors, especially in their craft beers and diverse menu. The friendly service and excellent value make it a consistent neighborhood favorite.","신선한 재료와 훌륭한 맛의 수제맥주, 그리고 다양한 메뉴가 조화를 이루는 믿음직한 곳입니다. 친절한 서비스와 뛰어난 가성비 덕분에 꾸준히 사랑받는 동네 맛집으로 손색이 없습니다.",http://place.map.kakao.com/1162047660,37.54404074,127.0566278,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,No Match,,
역삼동,수제맥주,생활맥주 강남역점,86,1 Neon Heart,"The score of 86 reflects strong performance in ingredient quality (17), flavor mastery (18), a vibrant atmosphere (16), good value (17), and notable consistency (18), with no penalty applied for sponsorship.","This Gangnam branch of Saenghwal Maekju delivers consistently satisfying craft beer and chicken, with well-executed flavors and quality ingredients. Its lively atmosphere and good value make it a reliable spot for a casual meal.","생활맥주 강남역점은 꾸준히 만족스러운 수제맥주와 치킨을 선보이며, 훌륭한 맛과 신선한 재료를 자랑합니다. 활기찬 분위기와 합리적인 가격은 이곳을 믿고 찾을 수 있는 캐주얼 다이닝으로 만듭니다.",http://place.map.kakao.com/1602696798,37.49502129,127.030894,No valid reviews found.,Unknown,"Scraper reached the review page, but only found dates, UI buttons, or boilerplate text. Needs human verification.",rescrape,False,False,,
